link,title,publisher
"https://ofboysandmen.substack.com/p/honey-where-did-all-the-male-workers","Honey, Where Did All the Male Workers Go?","Of Boys and Men"
"https://ofboysandmen.substack.com/p/the-real-feminization-problem","The real “feminization” problem","Of Boys and Men"
"https://www.crisistextline.org/wp-content/uploads/2026/05/Exploring%20Mental%20Health%20Trends%20Among%20Boys%20and%20Men.pdf","Exploring Mental Health Trends Among Boys and Men: Key Challenges and Coping Strategies","Crisis Text Line"
"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6465178","Affirmative Action for Men on the Economic Margins","Florida Law Review"
"https://oasis.library.unlv.edu/bmw_lincy_he/43/","Men in Higher Education in Nevada, 1993-2023","The Lincy Institute and Brookings Mountain West"
"https://johnfarrall.substack.com/p/neet","NEET: A Generation of Lost Boys?","Audience of Four"
"https://globalwellnessinstitute.org/global-wellness-institute-blog/2026/04/19/biological-basis-of-male-social-dynamics/","The Biological Basis of Male Social Dynamics","Global Wellness Institute"
"https://www.axios.com/2024/09/28/working-class-men-labor-market-losses","What's happened to men in the labor market","Axios"
"https://www.newgeography.com/content/008295-the-intersectional-problems-facing-working-class-men","The Intersectional Problems Facing Working Class Men","New Geography"
"https://ofboysandmen.substack.com/p/working-class-men-a-troubling-update","Working class men: a troubling update","Of Boys and Men"
"https://www.nber.org/papers/w35179","Bachelors Without Bachelor's: Gender Gaps in Education and Declining Marriage Rates","National Bureau of Economic Research"
"https://www.jeserie.org/uploads/mic%20bloodworth.pdf","Men in Crisis: Class, Despair, and Politics: Everyday People Aren’t Stupid: Working-Class Men & the Left’s Condescension","Jefferson Educational Society"
"https://erdc.wa.gov/sites/default/files/2025-09/WA_CTE_Report_508c.pdf","Career and Technical Education in Washington State: A Longitudinal Study of Student Access, Participation, and Outcomes","Washington Education Research and Data Center"
"https://ofboysandmen.substack.com/p/places-without-women","Places without women","Of Boys and Men"
"https://ofboysandmen.substack.com/p/losing-40000-men-a-year-to-suicide","Losing 40,000 men a year to suicide is a national tragedy","Of Boys and Men"
"https://link.springer.com/article/10.1007/s11618-025-01351-x","Stichwortbeitrag: Geschlechterstereotype von Lehrkräften: Inhalte, Konsequenzen und Interventionen","Springer Nature"
"https://oasis.library.unlv.edu/bmw_lincy_demography/40","Homelessness Increases in the Mountain West, 2015-2024","The Lincy Institute and Brookings Mountain West"
"https://www.frontiersin.org/journals/developmental-psychology/articles/10.3389/fdpys.2025.1711011/full","Measuring gender segregation in emerging adulthood: why it matters how we ask","Frontiers Media"
"https://link.springer.com/chapter/10.1007/978-3-032-23499-5_5","Gender Responsive Computer Science Curricula to Empower Women in the GenAI Driven Job Market","Springer Nature"
"https://eric.ed.gov/?id=ED679619","Where Are All the Men?: A Look at Male vs. Female Postsecondary Enrollment in North Carolina. Policy Brief","James G. Martin Center for Academic Renewal"
"https://oasis.library.unlv.edu/bmw_lincy_demography/41/","Sex Ratios by Nevada County, 2023","The Lincy Institute and Brookings Mountain West"
"https://doi.org/10.4324/9781003775003","Polarized Society: Class Divisions in the New Culture Wars","Routledge"
